condition,hours,seed,policy,dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
uniform,0.25,112,iei_float,4.57478254175968,1.0188273265196341,2.3488538863667263,0.8613744376793243,3218,0.9987569919204475,4.148228713486637,44,1.2721205708321204,0.2786286137812186,-575.4774814382426,-23.58496322382025,0.14500544549447744,3214
uniform,0.25,112,iei_100,4.0,0.9073763621123219,2.586287072287938,0.8533206918080163,3783,0.9994713190589479,3.528680941052075,40,1.397026582568225,0.33507598264409166,-672.1260258043361,-24.81484573992983,0.15082901856691971,3781
uniform,0.25,112,iei_400,5.0,1.0893997445721584,2.2014755953520937,0.8235763798496402,2893,0.9986173522295195,4.614241272035949,45,1.1887407642551988,0.24601059588085183,-512.5510339185929,-23.49397323595237,0.13745265333794413,2889
uniform,0.25,113,iei_float,4.415543883687295,0.9616580310880829,2.3235222313496102,0.8669068395569515,3351,0.999104744852283,4.027156072814085,44,1.2990281031164823,0.28740632735173366,-570.325279995109,-22.217523706081,0.1416462809746953,3348
uniform,0.25,113,iei_100,4.0,0.8874143835616438,2.284113896114539,0.882597549851946,3739,0.9997325488098422,3.60925381117946,33,1.3847585054771319,0.3250877627727454,-620.333761969381,-23.406284124848195,0.140116438777034,3738
uniform,0.25,113,iei_400,5.0,1.1087239583333333,2.1214810243135047,0.837803215795041,2760,0.9985507246376811,4.8894927536231885,54,1.1598012085483536,0.23032407051447534,-427.0840916057538,-18.565449331983217,0.1249325979341627,2756
uniform,0.25,114,iei_float,4.516346810285975,0.9983296213808464,2.3416689844363914,0.8582232121308235,3169,0.9987377721678763,4.266645629536131,89,1.258250365573252,0.2704030140607864,-537.5720641630809,-22.020188035524356,0.1403855305547651,3165
uniform,0.25,114,iei_100,4.0,0.8780053428317008,2.4616359587974244,0.876586397018517,3670,0.9997275204359674,3.6841961852861034,89,1.3740772991473431,0.31882425694615746,-596.1153586280517,-21.868486760007627,0.14573071814367913,3669
uniform,0.25,114,iei_400,5.0,1.0868686868686868,2.0944344382815006,0.842516250262642,2739,0.9974443227455275,4.936473165388828,89,1.1624626141437755,0.23057132730850366,-416.0424962345167,-18.636885081140566,0.1232369021640026,2732
uniform,0.25,115,iei_float,4.566615737203972,1.0339539978094194,2.3363282456624237,0.8440750867427248,3128,0.9990409207161125,4.293478260869565,51,1.2521669571840075,0.2669981611787523,-519.6143182021951,-21.493916552417943,0.13339321920888444,3125
uniform,0.25,115,iei_100,4.0,0.8558480794130341,2.4585524626924005,0.8844049992220303,3688,0.9994577006507592,3.641540130151844,40,1.3879031859258166,0.32265464510969055,-567.3780017277352,-20.510094340686077,0.1330968853696704,3686
uniform,0.25,115,iei_400,5.0,1.1255813953488372,2.1688420324656494,0.8236063712566642,2734,0.9970738844184345,4.912216532553036,51,1.1541965640429286,0.23195767933027306,-461.89381441073937,-21.44546014633819,0.1309945247709515,2726
uniform,0.25,116,iei_float,4.478926319027842,0.9864645370871684,2.1612001661833093,0.8880800912067932,3203,0.9975023415547923,4.164845457383703,47,1.2851601818152165,0.2806315881447162,-534.0676914311339,-21.12507061004731,0.13890841951691876,3195
uniform,0.25,116,iei_100,4.0,0.9177903436276642,2.4850467208370657,0.8781133411716397,3641,0.9989014007140895,3.663828618511398,48,1.3786895497240454,0.322637554653892,-608.8829734822507,-22.409258502421235,0.1401432684360827,3637
uniform,0.25,116,iei_400,5.0,1.1122853368560106,2.0794288405053254,0.8478700114239086,2736,0.9959795321637427,4.875730994152047,56,1.1690253650309348,0.23646787136401715,-455.5057214260792,-20.864947491453467,0.1315383221290118,2725
uniform,0.25,117,iei_float,4.591372489348752,0.9897629310344828,2.2967977416120475,0.8758601854498692,3159,0.9987337765115543,4.27065527065527,41,1.2665522764151387,0.2690270877422266,-482.39315939499704,-18.863931100876563,0.1296946862624264,3155
uniform,0.25,117,iei_100,4.0,0.8784364261168385,2.635787696758562,0.876303878837799,3726,0.999194847020934,3.6207729468599035,41,1.3885091900814235,0.325866540332603,-606.1060080609662,-22.38057319535098,0.14029029544628552,3723
uniform,0.25,117,iei_400,5.0,1.090851735015773,2.1319841644442055,0.8282542562991297,2789,0.9960559340265328,4.837217640731445,57,1.1812025887501871,0.23764158056789297,-430.17906725010437,-18.95721487158918,0.12427559711804351,2778
uniform,0.25,118,iei_float,4.491886563542614,0.9724430312665607,2.3604362807058767,0.8741508562088528,3224,0.9978287841191067,4.198511166253102,53,1.277908723697136,0.2772843312296204,-533.8518280482806,-20.92085426442901,0.1363016214809243,3217
uniform,0.25,118,iei_100,4.0,0.8540176693310896,2.4997958442537116,0.8793754564323808,3725,0.9989261744966443,3.6338255033557045,53,1.3974456948048743,0.3255140692865368,-552.9405679679562,-19.84217700941054,0.12837020950357414,3721
