condition,hours,seed,iei_ms,dropped_events,events,span_ms,realized_rate_per_hour,detected_fraction_over_20ms,detected_max_duration_ms,nominal_offspring,actual_offspring,attempted_offspring,generation_limit_hits,generated_cascades,max_generated_duration_ms,generated_fraction_over_20ms,clipped_events
refractory_1.0,0.25,119,1.899894197118906,,14500,900000,58000.0,0.21192950745594216,144.0,1.0,0.8473793103448276,0.9957931034482759,0.0,2213.0,144.0,0.21192950745594216,0.0
refractory_1.2,0.25,100,1.4281477087349845,,14512,900000,58048.0,0.35964912280701755,184.0,1.2,0.9292998897464168,1.2085170893054025,0.0,1026.0,184.0,0.35964912280701755,0.0
refractory_1.2,0.25,101,1.4077303968664547,,14477,900000,57908.0,0.38266384778012685,204.0,1.2,0.9347796143250688,1.2199724517906336,0.0,947.0,204.0,0.3833157338965153,43.0
refractory_1.2,0.25,102,1.4578411707896888,,14524,900000,58096.0,0.3433678269049859,224.0,1.2,0.9268107959239879,1.2017350592123381,0.0,1063.0,224.0,0.3433678269049859,0.0
refractory_1.2,0.25,103,1.446727045136588,,14579,900000,58316.0,0.3717434869739479,152.0,1.2,0.9315453734824062,1.204540777831127,0.0,998.0,152.0,0.3717434869739479,0.0
refractory_1.2,0.25,104,1.4559785841760857,,14522,900000,58088.0,0.35940409683426444,168.0,1.2,0.9260432447321305,1.2058256438507093,0.0,1074.0,168.0,0.35940409683426444,0.0
refractory_1.2,0.25,105,1.4348989298454222,,14519,900000,58076.0,0.3339604891815616,172.0,1.2,0.9267855912941663,1.1907156140230044,0.0,1063.0,172.0,0.3339604891815616,0.0
refractory_1.2,0.25,106,1.4368209554993303,,14473,900000,57892.0,0.34492753623188405,260.0,1.2,0.9285960201060387,1.2019555188321973,0.0,1037.0,260.0,0.3452266152362584,50.0
refractory_1.2,0.25,107,1.424026167112697,,14464,900000,57856.0,0.36363636363636365,168.0,1.2,0.9304544830427022,1.2013593299464507,0.0,1013.0,168.0,0.36426456071076013,102.0
refractory_1.2,0.25,108,1.4752069196927895,,14515,900000,58060.0,0.3605072463768116,136.0,1.2,0.9239407509472959,1.1829831209094042,0.0,1104.0,136.0,0.3605072463768116,0.0
refractory_1.2,0.25,109,1.3971306019819554,,14497,900000,57988.0,0.35384615384615387,220.0,1.2,0.932754581783106,1.2165495383767397,0.0,976.0,220.0,0.35450819672131145,17.0
refractory_1.2,0.25,110,1.4457795579290906,,14530,900000,58120.0,0.35591603053435117,172.0,1.2,0.9278733654507915,1.1935306262904335,0.0,1048.0,172.0,0.35591603053435117,0.0
refractory_1.2,0.25,111,1.466566265060241,,14362,900000,57448.0,0.33548983364140483,188.0,1.2,0.9253206454282168,1.189904840711626,0.0,1083.0,188.0,0.3361034164358264,140.0
refractory_1.2,0.25,112,1.445453192439351,,14468,900000,57872.0,0.34757281553398056,204.0,1.2,0.9288913387996969,1.204161785984979,0.0,1032.0,204.0,0.3488372093023256,45.0
refractory_1.2,0.25,113,1.469302499067512,,14476,900000,57904.0,0.3492063492063492,188.0,1.2,0.9261046391397256,1.19039084579858,0.0,1072.0,188.0,0.3498134328358209,31.0
